marca,modelo,cantidad,precio_unitario,total
Chevrolet,Agile,5,10500,Not Defined
Toyota,Etios,4,22110,Not Defined
Fiat,Cronos,4,19560,Not Defined
Renault,Sandero,6,18060,Not Defined
Volkswagen,Up!,5,15800,Not Defined
Ford,EcoSport,4,20560,Not Defined
Audi,A1,2,27890,Not Defined
Fiat,Argo,7,18000,Not Defined
Chevrolet,Onix,6,19160,Not Defined
Honda,CR-V,4,18040,Not Defined
Nissan,Versa,5,19840,Not Defined
Peugeot,208,3,18930,Not Defined
Volkswagen,Voyage,3,20350,Not Defined
Toyota,Yaris,4,22150,Not Defined
Renault,Logan,3,18130,Not Defined
Volkswagen,Vento,4,21320,Not Defined
Renault,Kwid,4,14650,Not Defined
Fiat,Argo,4,16410,Not Defined
Chevrolet,Prisma,5,12000,Not Defined
Peugeot,308,3,25840,Not Defined
